Price,Close,High,Low,Open,Volume
Ticker,C,C,C,C,C
Date,,,,,
2016-01-13,33.957271575927734,35.580367474390194,33.791958190471576,35.55782539148497,27925800
2016-01-14,34.100040435791016,34.430670021716935,33.49137849369871,34.130095586155,30129500
2016-01-15,31.913362503051758,32.83010887346788,31.44747194887596,31.943417646474714,52452600
2016-01-19,31.515119552612305,32.40181130052407,31.304719092596386,32.198923914155316,39032700
2016-01-20,30.425533294677734,30.831305067689847,29.636526095703957,30.448075374708868,49905400
2016-01-21,30.17005157470703,31.10182736750096,30.079877504572742,30.44056518563725,34976700
2016-01-22,30.85383415222168,31.071747502303946,30.673489005217224,30.846318218415025,30187200
2016-01-25,29.719186782836914,30.77870763333912,29.64404459857061,30.665994356939663,31924000
2016-01-26,30.433034896850586,30.65095114332867,29.681601936434525,29.756744085880428,23508400
2016-01-27,30.47814178466797,31.327259519871923,30.230167370083556,30.335367594516534,28274800
2016-01-28,30.38785171508789,31.140212501775004,30.147096492950308,30.99726498551476,23212800
2016-01-29,32.0355224609375,32.04304480570675,30.681270800189857,30.69631835975689,36107600
2016-02-01,31.960283279418945,32.223611255398744,31.599150475530575,31.870000795953953,22860300
2016-02-02,30.410417556762695,31.493818781643665,30.30508751990555,31.493818781643665,31460900
2016-02-03,30.36528205871582,30.628607188202597,28.619805248901216,30.58346737744981,43680300
2016-02-04,30.688796997070312,31.275637488821623,30.132048755387533,30.177191435533256,26732600
2016-02-05,29.989099502563477,31.177827977246203,29.755866640365745,30.861837844618748,23599700
2016-02-08,28.44676399230957,29.477497524960853,27.972775866188083,29.447402402978486,35237100
2016-02-09,28.221044540405273,28.64236750509497,27.596586741519577,27.784676889501565,39767200
2016-02-10,28.145816802978516,29.40978314917717,28.123246897877028,28.96589017199992,33390000
2016-02-11,26.31757164001465,27.205357316775622,25.971486476539077,27.08497974382639,48945600
2016-02-12,28.243621826171875,28.491899368795238,27.069938081872444,27.107555543478608,38120400
2016-02-16,29.259309768676758,29.507590199394112,28.830464361100013,29.033602112588245,31802500
2016-02-17,29.92890739440918,30.31261295435345,29.718247319163396,29.876242375597734,29133500
2016-02-18,29.281875610351562,30.086904159747736,29.056167985580487,30.041761486782256,24107700
2016-02-19,29.33454132080078,29.38720633367249,28.63484572690182,29.20663852523523,22426000
2016-02-22,29.733299255371094,30.071862190458194,29.567778960433245,29.84615165371433,22028600
2016-02-23,28.75522232055664,29.4850101324145,28.619797186391708,29.432345121353457,26234200
2016-02-24,28.657411575317383,28.725124135155145,27.543918379117798,28.16837610204158,25912400
2016-02-25,29.05617332458496,29.078746100229477,28.597232776871884,28.762753071464452,19889500
2016-02-26,29.718252182006836,30.109480150072145,29.16150391629077,29.387214456734068,23757400
2016-02-29,29.229209899902344,29.94395308640521,29.229209899902347,29.665580451461516,22268700
2016-03-01,31.0499210357666,31.06496859155417,29.41729710816294,29.454917432645768,30606800
2016-03-02,31.764671325683594,31.787241229449247,30.914502886826455,31.02735814571162,28383800
2016-03-03,32.22361373901367,32.253705989135746,31.516392765615482,31.704482961514383,21835200
2016-03-04,32.22361373901367,32.795406671733744,31.952763397714673,32.40417871986059,28071000
2016-03-07,32.05808639526367,32.298841563444554,31.659336186094325,31.869996240745603,22134600
2016-03-08,30.8843994140625,31.832375296185813,30.83925961874175,31.71199772528434,26265000
2016-03-09,30.959640502929688,31.170300557045085,30.568412638123956,31.117635543516236,18573900
2016-03-10,31.125160217285156,31.71200349344619,30.5533673690055,31.305728041495062,21139800
2016-03-11,32.34397888183594,32.35902356608333,31.418572949107762,31.802278408049204,21068500
2016-03-14,32.103233337402344,32.28380118872218,31.757148064903674,32.09571099236047,15332700
2016-03-15,32.04303741455078,32.065607313681014,31.576574655682773,31.794757044006733,13784700
2016-03-16,31.77219581604004,32.38913143421335,31.222972783765197,31.696960885054473,22981000
2016-03-17,32.2386589050293,32.298849146219325,31.132690488434786,31.59163103240845,24262800
2016-03-18,32.75778579711914,33.081301129995964,32.53960050377834,32.67502566033274,30801900
2016-03-21,32.80291748046875,33.299475308208855,32.539592446829154,32.6750175698517,16226400
2016-03-22,32.637420654296875,32.825510902399046,32.28381006945538,32.554660485927215,14885100
2016-03-23,31.877513885498047,32.72768206221621,31.809801325050977,32.56216183222836,23989200
2016-03-24,31.554006576538086,31.554006576538086,30.869358457555933,31.433628979904793,22723400
2016-03-28,31.538963317871094,31.73457873283587,31.358398333319116,31.67438849129942,13062400
2016-03-29,31.388492584228516,31.433632394101224,30.952121955268304,31.433632394101224,18160100
2016-03-30,31.50886344909668,32.04303879845369,31.486290678963687,31.584098362798684,14763200
2016-03-31,31.41106605529785,31.85495907962298,31.29068843192302,31.471256301999734,15661700
2016-04-01,31.9527530670166,32.050557870841985,31.072489742394264,31.238009979679834,17749500
2016-04-04,31.64430046081543,32.12581097720914,31.584110211251684,31.87000815662135,14376300
2016-04-05,31.230487823486328,31.523910873761924,30.93706764323871,31.185348023465448,17867800
2016-04-06,31.493820190429688,31.51639009361489,30.989737015742573,31.245539775278935,16169900
2016-04-07,30.297557830810547,31.207913351553294,30.056802699209616,31.072488231274324,22618000
